mission_index,timestamp,latitude,longitude,altitude,velocity,roll,pitch,yaw
0,0.0,30.050114538923445,78.05016021409767,5000.0,200.0,0.0,0.0,0.8804459634116212
1,0.1,30.05022907765239,78.05032042856622,5000.0,200.0,0.0,0.0,0.8804473659169867
2,0.2,30.050343616186833,78.05048064340565,5000.0,200.0,0.0,0.0,0.8804487684357482
3,0.30000000000000004,30.050458154526773,78.05064085861595,5000.0,200.0,0.0,0.0,0.8804501709678505
4,0.4,30.05057269267221,78.05080107419714,5000.0,200.0,0.0,0.0,0.8804515735133314
5,0.5,30.050687230623137,78.05096129014922,5000.0,200.0,0.0,0.0,0.8804529760720976
6,0.6,30.050801768379554,78.05112150647217,5000.0,200.0,0.0,0.0,0.8804543786441872
7,0.7,30.05091630594146,78.05128172316603,5000.0,200.0,0.0,0.0,0.8804557812298034
8,0.7999999999999999,30.051030843308855,78.05144194023077,5000.0,200.0,0.0,0.0,0.8804571838286558
9,0.8999999999999999,30.05114538048173,78.05160215766641,5000.0,200.0,0.0,0.0,0.8804585864411076
10,0.9999999999999999,30.051259917460094,78.05176237547295,5000.0,200.0,0.0,0.0,0.8804599890670718
11,1.0999999999999999,30.051374454243934,78.05192259365039,5000.0,200.0,0.0,0.0,0.8804613917065182
12,1.2,30.051488990833253,78.05208281219873,5000.0,200.0,0.0,0.0,0.8804627943594547
13,1.3,30.05160352722805,78.05224303111798,5000.0,200.0,0.0,0.0,0.8804641970258894
14,1.4000000000000001,30.051718063428318,78.05240325040813,5000.0,200.0,0.0,0.0,0.8804655997059275
15,1.5000000000000002,30.05183259943406,78.0525634700692,5000.0,200.0,0.0,0.0,0.8804670023997715
16,1.6000000000000003,30.05194713524527,78.05272369010117,5000.0,200.0,0.0,0.0,0.8804684051071663
17,1.7000000000000004,30.05206167086195,78.05288391050406,5000.0,200.0,0.0,0.0,0.8804698078282244
18,1.8000000000000005,30.05217620628409,78.05304413127789,5000.0,200.0,0.0,0.0,0.880471210563014
19,1.9000000000000006,30.052290741511698,78.05320435242263,5000.0,200.0,0.0,0.0,0.88047261331131
20,2.0000000000000004,30.052405276544768,78.05336457393828,5000.0,200.0,0.0,0.0,0.8804740160735198
21,2.1000000000000005,30.052519811383295,78.05352479582487,5000.0,200.0,0.0,0.0,0.8804754188495891
22,2.2000000000000006,30.05263434602728,78.05368501808239,5000.0,200.0,0.0,0.0,0.8804768216393253
23,2.3000000000000007,30.052748880476717,78.05384524071084,5000.0,200.0,0.0,0.0,0.8804782244428696
24,2.400000000000001,30.052863414731608,78.05400546371023,5000.0,200.0,0.0,0.0,0.8804796272603647
25,2.500000000000001,30.05297794879195,78.05416568708056,5000.0,200.0,0.0,0.0,0.8804810300916566
26,2.600000000000001,30.05309248265774,78.05432591082182,5000.0,200.0,0.0,0.0,0.8804824329368494
27,2.700000000000001,30.053207016328976,78.05448613493402,5000.0,200.0,0.0,0.0,0.88048383579616
28,2.800000000000001,30.053321549805656,78.05464635941718,5000.0,200.0,0.0,0.0,0.8804852386692952
29,2.9000000000000012,30.053436083087778,78.05480658427128,5000.0,200.0,0.0,0.0,0.8804866415564996
30,3.0000000000000013,30.05355061617534,78.05496680949634,5000.0,200.0,0.0,0.0,0.8804880444576518
31,3.1000000000000014,30.05366514906834,78.05512703509234,5000.0,200.0,0.0,0.0,0.8804894473728583
32,3.2000000000000015,30.053779681766777,78.0552872610593,5000.0,200.0,0.0,0.0,0.8804908503022724
33,3.3000000000000016,30.053894214270645,78.05544748739723,5000.0,200.0,0.0,0.0,0.880492253245699
34,3.4000000000000017,30.054008746579946,78.05560771410612,5000.0,200.0,0.0,0.0,0.8804936562032861
35,3.5000000000000018,30.054123278694675,78.05576794118598,5000.0,200.0,0.0,0.0,0.8804950591751488
36,3.600000000000002,30.05423781061483,78.0559281686368,5000.0,200.0,0.0,0.0,0.8804964621610568
37,3.700000000000002,30.054352342340408,78.05608839645859,5000.0,200.0,0.0,0.0,0.8804978651613363
38,3.800000000000002,30.05446687387141,78.05624862465136,5000.0,200.0,0.0,0.0,0.8804992681758934
